ID,leaf_rust,stem_rust,healthy_wheat
K4KG21,0.0200979783115535,0.00642695536375662,0.973475036200029
29QHAM,0.127661404458551,0.830772438259294,0.0415661331445833
DA6ERF,0.931500383797696,0.0190371072736984,0.0494624781782521
2WZMHJ,0.983257899163265,0.0126399896395126,0.0042480280812598
Z8067W,0.00904428660465998,0.986346077913451,0.00460963334155009
4H1YI5,0.273307073712071,0.70272795617136,0.0239649739464483
FSWBAA,0.00521934131648171,0.988706177289755,0.00620772743671185
U2GLZO,0.543037316505862,0.451248308709664,0.00571975787842903
E1UT92,0.993601793983998,0.00582780718414125,0.00102815218627859
5I8R0P,0.0535346986890839,0.912520887606186,0.0339444146004661
O2A1R8,0.992254605164399,0.00693398795344711,0.00124676370840712
CVJKQ0,0.989627843245322,0.00911126804826885,0.0017546990899133
VXATQV,0.0228936085785597,0.963675960079044,0.0134304216032186
YQ8BG3,0.0160484748581322,0.0711057382717793,0.912845810856201
U2QBSA,0.976519454836512,0.0227753090675884,0.00111670172297008
GV8I76,0.0279352465646215,0.968780492108666,0.00328427693282123
PSO8V7,0.016328277403119,0.982901903478652,0.00110204415427319
7R79YI,0.0557782833411498,0.0355085158752727,0.908713169638953
OLIZFO,0.918804742944429,0.0269072336940666,0.0542879921036103
POV53J,0.0250625648468087,0.0089081087388803,0.966029323713866
NK8R1S,0.0120236367375207,0.0171774041034778,0.970798953048336
56SNDY,0.0375933160446411,0.961310828554219,0.00120371373082561
01OJZX,0.779604603768173,0.198615310076565,0.0217800731762015
65ZIX2,0.129347561019276,0.693172567141245,0.17747987677818
T7LG0W,0.00954419591890272,0.989081965216053,0.00137413557129977
R0HI1E,0.32886297338558,0.669384917252995,0.00200451050877644
58RYVJ,0.745569568922447,0.249225347447804,0.00524237890986471
TDZOK8,0.0137289403946979,0.206210358517951,0.780061425201991
FQ76KG,0.0264049140391012,0.965031359674546,0.00856379793987472
LNHUUG,0.0847961764057052,0.0814035116657545,0.833800312510075
VHVC6L,0.0141360503790652,0.0162352204564976,0.969628718059305
GU40NL,0.00881718315999133,0.990082140432155,0.00131491949233441
566UF3,0.0368538712383962,0.941928399936795,0.021217702811409
PHF5WX,0.91175202998955,0.0870971480646594,0.00132159612320349
KYH823,0.917473282112991,0.0808359089477609,0.00192749593862595
LN8U2L,0.0182858408582358,0.978251680523462,0.00346246418470034
K8I8PV,0.987600354340625,0.00496651603778883,0.00743314675894112
OSMWTE,0.252296738029707,0.740396389451298,0.00730682635516665
H5L2XQ,0.017442165397,0.0107496175486447,0.971808206168492
6TBILJ,0.00914743952679892,0.985820331616815,0.00508983187304327
4GSOVC,0.957877996888876,0.0406731031487895,0.00151301860383591
YYBG2V,0.967694791893146,0.0215357516545938,0.0107694789191156
83Z7CK,0.995649612183229,0.0032493223342654,0.00126766125883782
5QVR77,0.923313885093957,0.074690835535672,0.00201930288473432
2XCJEM,0.723324416623644,0.0482429265889156,0.228432682216973
